,0
826,★★★★★ 맛 ★ 3 양 ★ 3 배달 ★ 5
827,뿌링클순살/1
828,힝 퍽퍽살밖에 없어서 슬펐어요ㅠ
829,01**
830, 2022년 2월 24일
831,신고
832,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
833,뿌링클순살/1
834,정말 맛있게 잘 먹었습니다!
835,01**
836, 2022년 2월 24일
837,신고
838,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
839,맛초킹순살/1
840,정말 맛있게 잘 먹었습니다!
841,sw**
842, 2022년 2월 23일
843,신고
844,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
845,맛초킹（반）＋치즈볼/1
846,매콤하니 맛있어요 하나의 요리같아요
847,wl**
848, 2022년 2월 23일
849,신고
850,★★★★★ 맛 ★ 5 양 ★ 5
851,핫후라이드/1
852,항상 맛있게 먹습니다
853,ga**
854, 2022년 2월 22일
855,신고
856,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
857,후라이드 콤보＋뿌링멘보샤/1(옵션(콜라1.25L))
858,너무 어무 맛있어요
859,zi**
860, 2022년 2월 22일
861,신고
862,★★★★★ 맛 ★ 4 양 ★ 5 배달 ★ 5
863,하바네로 포테킹 후라이드/1(변경&추가(스윗하바네로소스))
864,조금 탔지만 맛있게 잘 먹었습니다. 소스 추가 필수!
865,47**
866, 2022년 2월 21일
867,신고
868,★★★★★ 맛 ★ 5 양 ★ 5
869,후라이드 반／양념 반/1(디저트(달콤바삭치즈볼))
870,맛있어요.가까워요.싸요
871,ce**
872, 2022년 2월 20일
873,신고
874,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
875,"빅콜팝/1,케이준프라이/2"
876,"콜팝 치킨, 감자튀김 다 맛있어요. 양념 빼주셨으면 했는데 요청사항도 빠트리지 않고 읽어주셔서 좋았어요. 또 시킬게요!"
877,yo**
878, 2022년 2월 20일
879,신고
880,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
881,뿌링클 순살＋치즈볼/1(변경&추가(뿌링 치즈볼로 변경))
882,요청사항에 적어두긴했지만 가루 진짜 듬뿍주셔서 그저감동... 감사합니다 사랑해요 성대점 조각 크기도 크구 양 많아요!! 배달도 예상시간보다 빨리왔구요
883,en**
884, 2022년 2월 20일
885,신고
886,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
887,뿌링클순살/1
888,언제나 맛있는 뿌링클
889,ga**
890, 2022년 2월 20일
891,신고
892,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
893,뿌링클 순살＋치즈볼/1(옵션(콜라1.25L))
894,뿌링클 가루 많이 뿌려주셔서 맛있게 잘 먹었습니다 치즈볼도 빵피가 얇고 바삭해서 맛있었어요
895,si**
896, 2022년 2월 20일
897,신고
898,★★★★★ 맛 ★ 5 양 ★ 5
899,후라이드 반／양념 반/1
900,항상 맛있게 먹어요
901,jo**
902, 2022년 2월 20일
903,신고
904,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
905,"뿌링클순살/1,골드킹 순살/1,맛초킹순살/1"
906,맛있게 잘먹었습니다
907,손
908, 2022년 2월 19일
909,신고
910,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
911,뿌링클순살/1
912,너무 맛이다❤️❤️❤️❤️❤️
913,ga**
914, 2022년 2월 19일
915,신고
916,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
917,핫후라이드/1
918,기대하던 그맛이예요~ 배달도 친절하게 해주셨습니다
919,ch**
920, 2022년 2월 19일
921,신고
922,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
923,뿌링클순살/1(변경&추가(뿌링뿌링소스 추가))
924,오랜만에 뿌링클 생각이나서 먹었는데 너무 맛있었어요!! 양도 생각보다 정말 많더라구요 잘먹었습니다~
925,ka**
926, 2022년 2월 18일
927,신고
928,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 3
929,뿌링클순살/1(옵션(콜라1.25L))
930,양이 진짜 많아요... 먹어본 뿌링클 순살 중에 제일 양이 많네요. 다만 배달이 좀 급하게 왔는지 가루가 비닐까지 튀어있었어요ㅠ
931,io**
932, 2022년 2월 18일
933,신고
934,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
935,골드킹/1
936,맛있어용 또시킬개요
937,ng**
938, 2022년 2월 17일
939,신고
940,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
941,뿌링클（반）＋치즈볼/1
942,ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
943,5-**
944, 2022년 2월 17일
945,신고
946,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
947,뿌링빅콜팝/1(디저트(뿌링치즈볼))
948,믿고 먹는 뿌링클!! 아무래도 거리가 있어서 좀 눅눅해져서 왔지만 맛있었어요!
949,18**
950, 2022년 2월 17일
951,신고
952,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
953,뿌링클 콤보＋치즈볼/1
954,너무 맛있어용!!!!!!
955,xc**
956, 2022년 2월 16일
957,신고
958,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
959,맛초킹/1(디저트(뿌링소떡))
960,이건 하나의 요리네요 정말 맛잇어요 최강추
961,na**
962, 2022년 2월 15일
963,신고
964,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
965,핫후라이드/1
966,정말 맛있어요! 감사합니다!
967,ne**
968, 2022년 2월 12일
969,신고
970,★★★★★ 맛 ★ 5 양 ★ 5
971,뿌링클 콤보/1
972,밋있어요!!!!!!
973,ch**
974, 2022년 2월 12일
975,신고
976,★★★★★ 맛 ★ 4 양 ★ 2 배달 ★ 5
977,뿌링클（반）＋치즈볼/1
978,배달 생각보다 빨리 와서 좋았어요
979,ph**
980, 2022년 2월 11일
981,신고
982,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
983,"핫후라이드/1(변경&추가(뿌링뿌링소스 추가),옵션(양념소스))"
984,항상 믿고먹어요. 너무 맛있어요
985,le**
986, 2022년 2월 11일
987,신고
988,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
989,바삭클순살/1
990,맛있게 잘 먹었습니다
991,wn**
992, 2022년 2월 11일
993,신고
994,★★★★★ 맛 ★ 5 양 ★ 5
995,핫후라이드/1
996,너무너무너무너무맛나요
997,ju**
998, 2022년 2월 11일
999,신고
1000,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1001,후라이드/1
1002,덕분에 좋은 자리였습니다.
1003,ai**
1004, 2022년 2월 11일
1005,신고
1006,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1007,골드킹/1
1008,치킨 맛있고 배달 빨라요 잘 먹겠습니다👍
1009,dk**
1010, 2022년 2월 11일
1011,신고
1012,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1013,바삭클/1
1014,바삭바삭하니 이것도 다른 매력이있는 맛이네요. 잘먹었습니다.
1015,87**
1016, 2022년 2월 11일
1017,신고
1018,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1019,뿌링클（반）＋치즈볼/1
1020,치즈볼은 정말 맛있어요
1021,ke**
1022, 2022년 2월 11일
1023,신고
1024,★★★★★ 맛 ★ 3 양 ★ 4
1025,"뿌링치즈볼/1,뿌링핫도그/1,뿌링감자/1"
1026,쏘쏘 그냥 먹을만 함
1027,wh**
1028, 2022년 2월 10일
1029,신고
1030,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 4
1031,"뿌링클/1,콜라1.25L/1"
1032,배달이 좀 느리긴했지만 맛있게먹었습니다
1033,su**
1034, 2022년 2월 10일
1035,신고
1036,★★★★★ 맛 ★ 2 양 ★ 2 배달 ★ 5
1037,"싸이순살/1(옵션(양념소스,치킨무))"
1038,싸이순살 시켰는데ㅠㅠ저는 진짜 별로였어요ㅠㅠ 뼈 있는게 더 맛있을 것 같습니다..
1039,19**
1040, 2022년 2월 10일
1041,신고
1042,★★★★★ 맛 ★ 4 양 ★ 5 배달 ★ 5
1043,맛초킹/1(옵션(콜라1.25L))
1044,콜라가 추가했는데 안왔어요 ㅠㅠ 그래도 그부분은 빠르게 환불해주셨어요~ 맛있게 잘 먹었습니다
1045,kt**
1046, 2022년 2월 10일
1047,신고
1048,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1049,맛초킹순살/1
1050,꼭 한번씩 생각나는 맛초킹 bhc 순살 담백해서 좋아요
1051,im**
1052, 2022년 2월 10일
1053,신고
1054,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1055,뿌링클HOT순살/1(변경&추가(스윗하바네로소스))
1056,맛있어요.........
1057,pe**
1058, 2022년 2월 10일
1059,신고
1060,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1061,뿌링클 윙/1(옵션(콜라1.25L))
1062,맛있게 잘 먹었습니다.
1063,jr**
1064, 2022년 2월 9일
1065,신고
1066,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1067,바삭클/1(옵션(콜라1.25L))
1068,너무 맛있어요!여러분은 한번 시도해 볼 수 있어요！
1069,ch**
1070, 2022년 2월 9일
1071,신고
1072,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1073,"핫후라이드/1(디저트(케이준프라이),옵션(콜라1.25L))"
1074,맛있게 잘먹었습니다 항상 배달 엄청 빨라요 감사합니다
1075,zg**
1076, 2022년 2월 9일
1077,신고
1078,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1079,맛초킹（반）＋치즈볼/1
1080,치킨 맛집입니다 역시 최고
1081,sw**
1082, 2022년 2월 9일
1083,신고
1084,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1085,맛초킹（반）＋치즈볼/1
1086,주문때마다 한마리에 치즈볼은 많았는데 어떻게 이런 메뉴가!넘 좋아요
1087,re**
1088, 2022년 2월 8일
1089,신고
1090,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1091,하바네로 포테킹 후라이드/1
1092,포테킹만 먹어요 ㅎㅎ
1093,so**
1094, 2022년 2월 8일
1095,신고
1096,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1097,뿌링클순살/1
1098,맛있어요 다음에도 먹을게요
1099,ho**
1100, 2022년 2월 8일
1101,신고
1102,★★★★★ 맛 ★ 5 양 ★ 5
1103,바삭클/1
1104,맛있게 잘 먹었습니다!
1105,my**
1106, 2022년 2월 8일
1107,신고
1108,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1109,뿌링클 스틱/1
1110,좋아요~
1111,dn**
1112, 2022년 2월 8일
1113,신고
1114,★★★★★ 맛 ★ 5 양 ★ 5
1115,뿌링클 콤보/1
1116,뿌링클콤보는 늘 옳습니다!
1117,so**
1118, 2022년 2월 8일
1119,신고
1120,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1121,맛초킹＋치즈볼/1(디저트(빨간소떡))
1122,정신없이 먹다가 사진 찍었어요ㅠ 진짜 맛있어요!!
1123,ba**
1124, 2022년 2월 7일
1125,신고
1126,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1127,맛초킹 콤보/1
1128,맛있게 잘먹었습니다!!
1129,io**
1130, 2022년 2월 7일
1131,신고
1132,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1133,"골드킹/1,머스타드소스/1"
1134,할인해서주문해봤어요 맛있어요
1135,io**
1136, 2022년 2월 7일
1137,신고
1138,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1139,뿌링클순살/1
1140,할인해서주문해봤어요 맛있어요
1141,ye**
1142, 2022년 2월 7일
1143,신고
1144,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1145,뿌링클 콤보/1
1146,정말 맛납니다 콜라 있어서 너무 좋았어용
1147,jj**
1148, 2022년 2월 7일
1149,신고
1150,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1151,펌치킨/1
1152,맛있게 잘 먹었습니다.
1153,ti**
1154, 2022년 2월 7일
1155,신고
1156,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1157,포테킹 후라이드/1(변경&추가(스윗하바네로소스))
1158,포테킹은 그냥 후라이드 맛인데 하바네로 소스가 있으면 맛있어요
1159,tm**
1160, 2022년 2월 7일
1161,신고
1162,★★★★★ 맛 ★ 4 양 ★ 5 배달 ★ 5
1163,뿌링클＋치즈볼/1
1164,이벤트날이라 주문이 많아서 그런지 한번 취소되고 그 다음 주문에 받아주셨는데 배달 생각보다 엄청 빨리오고 맛있었어유
1165,uf**
1166, 2022년 2월 7일
1167,신고
1168,★★★★★ 맛 ★ 1 양 ★ 5 배달 ★ 5
1169,바삭클/1
1170,아 저랑 이치킨이랑 안맞음 ㅠㅠ 그냥 후라이드시킬걸
1171,al**
1172, 2022년 2월 7일
1173,신고
1174,★★★★★ 맛 ★ 5 양 ★ 5
1175,뿌링클（반）＋치즈볼/1
1176,맛있게 먹었어요! 치즈볼은 언제 먹어도 맛있네요ㅎㅎ
1177,ks**
1178, 2022년 2월 7일
1179,신고
1180,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1181,뿌링클순살/1
1182,따뜻하고 맛있는 치킨 잘 먹었습니다 뿌링클 최고에요
1183,a0**
1184, 2022년 2월 7일
1185,신고
1186,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1187,뿌링클순살/1
1188,너무너무너무너무 괜찮아요
1189,86**
1190, 2022년 2월 7일
1191,신고
1192,★★★★★ 맛 ★ 5 양 ★ 5
1193,골드킹（반）＋치즈볼/1
1194,맛있게 잘 먹었습니다
1195,lu**
1196, 2022년 2월 6일
1197,신고
1198,★★★★★ 맛 ★ 1 양 ★ 3 배달 ★ 3
1199,뿌링클＋치즈볼/1
1200,맛이 없어요. 실망했어요...
1201,ep**
1202, 2022년 2월 6일
1203,신고
1204,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1205,"뿌링클 스틱/1,달콤바삭치즈볼/1"
1206,이벤트중인데도 배달이 많이 안 늦었네요~ 맛있게 잘 먹었습니다^^
1207,mi**
1208, 2022년 2월 6일
1209,신고
1210,★★★★★ 맛 ★ 5 양 ★ 5
1211,"뿌링클＋치즈볼/1(디저트(달콤바삭치즈볼,빨간소떡))"
1212,넘 신나서 먹다가 중간에 찍어버렸네요ㅋㅋ 요청대로 가루도 많이 주셔서 넘 맛있게 잘 먹었습니다!
1213,mi**
1214, 2022년 2월 6일
1215,신고
1216,★★★★★ 맛 ★ 5 양 ★ 5
1217,맛초킹（반）＋치즈볼/1
1218,잘못 튀겨진건지 중간중간 뼈처럼 딱딱한 살이 있네요. 양념은 맛있었어요
1219,ho**
1220, 2022년 2월 6일
1221,신고
1222,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1223,뿌링클순살/1(디저트(뿌링치즈볼))
1224,맛있어요! 다음에도 여기 지점에서 시켜먹으려구요
1225,al**
1226, 2022년 2월 6일
1227,신고
1228,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1229,뿌링클（반）＋치즈볼/1
1230,",,,,,,,💛💛💛"
1231,mj**
1232, 2022년 2월 6일
1233,신고
1234,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1235,맛초킹/1
1236,"역시 맛초킹, 요기패스로 저렴하게 잘 무써요"
1237,el**
1238, 2022년 2월 6일
1239,신고
1240,★★★★★ 맛 ★ 5 양 ★ 5
1241,뿌링클（반）＋치즈볼/1
1242,잘먹었습니다 ~~
1243,pa**
1244, 2022년 2월 6일
1245,신고
1246,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1247,뿌링클순살/1
1248,오랜만에 먹는데 맛있네요!! 담엔 소스 하나 더 추가해야겠어요 소스 푹푹 찍어먹어야 더 존맛ㅎㅎ
1249,he**
1250, 2022년 2월 6일
1251,신고
1252,★★★★★ 맛 ★ 2 양 ★ 2 배달 ★ 2
1253,맛초킹＋치즈볼/1(변경&추가(뿌링 치즈볼로 변경))
1254,노노너노너어넌너너너
1255,be**
1256, 2022년 2월 6일
1257,신고
1258,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1259,골드킹（반）＋치즈볼/1
1260,ㅁㅁㅁㅁㅁㅁㅁㅁㅁㅁ
1261,co**
1262, 2022년 2월 6일
1263,신고
1264,★★★★★ 맛 ★ 5 양 ★ 5
1265,후라이드（반）＋뿌링치즈볼/1
1266,언제나 맛있네요! 잘 먹었습니당
1267,ba**
1268, 2022년 2월 6일
1269,신고
1270,★★★★★ 맛 ★ 3 양 ★ 3 배달 ★ 4
1271,뿌링클 콤보/1
1272,음식이 전반적으로 달고 짠 듯 합니다. 배달안하고 식당에서 바로 먹었으면 더 맛있었을 듯.
1273,mi**
1274, 2022년 2월 6일
1275,신고
1276,★★★★★ 맛 ★ 1 양 ★ 3 배달 ★ 3
1277,핫후라이드/1
1278,여기 시키지마세요 다른 지점도 많이 시켜봤는데 주문 많아서 그런지 대충만들어줍니다 핫후라이드는 일반 후라이드랑 차이가없고 맛쵸킹 같은 양념메뉴는 대충 반만 발라서 줍니다
1279,eo**
1280, 2022년 2월 6일
1281,신고
1282,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1283,포테킹 후라이드/1
1284,일반 후라이드보다 바삭바삭해서 좋아요
1285,li**
1286, 2022년 2월 6일
1287,신고
1288,★★★★★ 맛 ★ 5 양 ★ 5
1289,뿌링클（반）＋치즈볼/1
1290,맛있어요!!!!!!
1291,da**
1292, 2022년 2월 5일
1293,신고
1294,★★★★★ 맛 ★ 5 양 ★ 5
1295,커리퀸순살/1
1296,순살 시켰는데 설명 안 읽어봐서 다 닭가슴살인줄 몰랐어요 다음부턴 무조건 뼈로 시킬거지만 이 퍽퍽살에도 커리퀸 소스는 너무 맛있어요
1297,bh**
1298, 2022년 2월 5일
1299,신고
1300,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 4
1301,"후라이드（반）＋뿌링치즈볼/1,맛초킹순살/1"
1302,맛도 양도 좋아요. 시간은 맞춰왔는데 좀 식어서 아쉽네여.
1303,ee**
1304, 2022년 2월 5일
1305,신고
1306,★★★★★ 맛 ★ 3 양 ★ 4 배달 ★ 5
1307,"골드킹 순살/1,레드킹순살/1,콜라1.25L/1,카스（병） 500ml/1"
1308,배달은 엄청 빨랐어요~ 맛은 글쎄... 주문도 실수해서 원하는게 아니어선가... 식감도 낯설고.. 앞으론 바삭클만 주문하기로 합니다:)
1309,yr**
1310, 2022년 2월 5일
1311,신고
1312,★★★★★ 맛 ★ 4 양 ★ 5
1313,뿌링클/1
1314,무난하지만 그 맛이 더 무서운 법! 친절하시고 맛있습니다
1315,kh**
1316, 2022년 2월 5일
1317,신고
1318,★★★★★ 맛 ★ 3 양 ★ 5 배달 ★ 1
1319,레드킹 콤보/1
1320,이벤트중이라 바쁜건 알지만 라이더 묶음배송으로 너무 차갑게 식어서 온 치킨이라 별 평점 몇개 깎습니다. 양이랑 맛은 좋아요
1321,na**
1322, 2022년 2월 5일
1323,신고
1324,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1325,후라이드 반／양념 반/1
1326,정말 맛있어요! 감사합니다!
1327,ha**
1328, 2022년 2월 4일
1329,신고
1330,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1331,핫후라이드/1
1332,잘먹었습니다 빨리와서 뜨거워여
1333,fa**
1334, 2022년 2월 4일
1335,신고
1336,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1337,"빨간소떡/1,뿌링클 콤보＋치즈볼/1"
1338,맛있습니다 맥주사러 갔다온다고 식어서 먹었는데도 바삭하고 맛있어요 원래 몇조각 남기는데 오늘은 다먹었네요
1339,qn**
1340, 2022년 2월 4일
1341,신고
1342,★★★★★ 맛 ★ 5 양 ★ 5
1343,커리퀸/1
1344,뿌링클에서 단맛빼고 커리향추가한맛이에요 뿌링클 애호가라면 꼭한번 드셔보세요 짱맛탱이ㅜㅜ♡
1345,ht**
1346, 2022년 2월 4일
1347,신고
1348,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1349,뿌링클（반）＋치즈볼/1(변경&추가(뿌링 치즈볼로 변경))
1350,배달도 빠르고 혼자서도 부담없이 먹을 수 있어서 좋아요
1351,sh**
1352, 2022년 2월 4일
1353,신고
1354,★★★★★ 맛 ★ 4 양 ★ 5 배달 ★ 4
1355,후라이드 반／양념 반/1
1356,"잘 먹었습니다! :) 다만 오늘 날씨가 추워서 그런지, 배달이 오래 걸려서 그런지 모르겠지만, 치킨이 많이 식었었어요 ㅠㅠ"
1357,ug**
1358, 2022년 2월 4일
1359,신고
1360,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1361,후라이드 반／양념 반/1
1362,아주 맛있었어요! 💯💯💯
1363,po**
1364, 2022년 2월 4일
1365,신고
1366,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1367,후라이드/1
1368,치킨맛잇어요비에치ㅆ
1369,al**
1370, 2022년 2월 4일
1371,신고
1372,★★★★★ 맛 ★ 5 양 ★ 5
1373,맛초킹/1
1374,바삭하고 깨도 많이뿌려져잇어서 맛있음. 조리도 빨라요
1375,86**
1376, 2022년 2월 4일
1377,신고
1378,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1379,"뿌링치즈볼/1,뿌링핫도그/1,뿌링감자/1"
1380,맛있게 잘 먹었습니다!
1381,72**
1382, 2022년 2월 4일
1383,신고
1384,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1385,바삭클/1
1386,너무너무너무너무너무.............맛이어!ㅠㅠㅠㅠㅠㅠㅠ
1387,qk**
1388, 2022년 2월 4일
1389,신고
1390,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1391,뿌링클（반）＋치즈볼/1
1392,역시 뿌링클 너무맛있어요!!! 또 시키겠습니다 반마리 너무 좋아요
1393,cs**
1394, 2022년 2월 3일
1395,신고
1396,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1397,하바네로 포테킹 후라이드/1
1398,맛있어요~ 가격이 조금 비싼게 흠이네요
1399,mj**
1400, 2022년 2월 3일
1401,신고
1402,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1403,맛초킹 윙/1
1404,역시 맛초킹. 맵짠의 조화가 좋아요.
1405,gm**
1406, 2022년 2월 3일
1407,신고
1408,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1409,뿌링클순살/1
1410,잘먹었어요 감사합니다
1411,ea**
1412, 2022년 1월 31일
1413,신고
1414,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1415,뿌링클 콤보＋치즈볼/1
1416,맛있게 잘먹었습니다!
1417,86**
1418, 2022년 1월 29일
1419,신고
1420,★★★★★ 맛 ★ 5 양 ★ 5
1421,뿌링클（반）＋치즈볼/1
1422,맛있게 잘 먹었습니다
1423,10**
1424, 2022년 1월 29일
1425,신고
1426,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1427,뿌링클（반）＋치즈볼/1
1428,👍👍👍👍👍👍👍👍👍👍
1429,ce**
1430, 2022년 1월 27일
1431,신고
1432,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1433,"빅콜팝/1,케이준프라이/2"
1434,자주 먹어요. 콜라도 주셔서 더 좋아요. 콜팝도 맛있고 프라이도 맛있어요.
1435,26**
1436, 2022년 1월 23일
1437,신고
1438,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1439,뿌링클（반）＋치즈볼/1(변경&추가(뿌링 치즈볼로 변경))
1440,잘 먹었습니다~~~
1441,hi**
1442, 2022년 1월 22일
1443,신고
1444,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 4
1445,"골드킹 콤보/1,후라이드/1,바삭클순살/1,머스타드소스/1,양념소스/1"
1446,피크타임에 시켜서 배달이 좀느렸지만 따끈따끈하게 잘먹었습니다
1447,12**
1448, 2022년 1월 20일
1449,신고
1450,★★★★★ 맛 ★ 5 양 ★ 5
1451,뿌링클/1
1452,대박이다!!!아아아아
1453,xc**
1454, 2022년 1월 20일
1455,신고
1456,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1457,"핫후라이드/1(옵션(콜라1.25L,양념소스))"
1458,대박 좋아요 비에이치씨 굿굿
1459,a2**
1460, 2022년 1월 20일
1461,신고
1462,★★★★★ 맛 ★ 4 양 ★ 4 배달 ★ 4
1463,후라이드（반）＋뿌링치즈볼/1(디저트(뿌링소떡))
1464,맛있어요! 추천합니다 ^^
1465,mo**
1466, 2022년 1월 20일
1467,신고
1468,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1469,뿌링클（반）＋치즈볼/1(옵션(콜라1.25L))
1470,맛 있었어요..굿굿
1471,tn**
1472, 2022년 1월 18일
1473,신고
1474,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1475,뿌링클 콤보/1
1476,완전 바삭하고 맛있었어요 강추!
1477,gh**
1478, 2022년 1월 18일
1479,신고
1480,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1481,맛초킹 콤보/1(옵션(치킨무))
1482,사장
1483, 너무 맛있습니다 힘내세요
1484,si**
1485, 2022년 1월 18일
1486,신고
1487,★★★★★ 맛 ★ 5 양 ★ 5
1488,뿌링클순살/1
1489,항상 맛있게 먹어요
1490,si**
1491, 2022년 1월 18일
1492,신고
1493,★★★★★ 맛 ★ 5 양 ★ 5
1494,뿌링클순살/1
1495,항상 맛있게 먹어요
1496,hu**
1497, 2022년 1월 17일
1498,신고
1499,★★★★★ 맛 ★ 5 양 ★ 5
1500,핫후라이드/1
1501,잘 먹었어요. 핫후라이드 처음 시켜뵜는데 맛있었습니다.
1502,87**
1503, 2022년 1월 17일
1504,신고
1505,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1506,"뿌링클 콤보/1(디저트(달콤바삭치즈볼),옵션(콜라1.25L))"
1507,배달도 빠르고 너무 맛있었어요~ 전화로 댕청한 질문 했는데 너무 죄송했고 친절하게 답해주셔서 감사했습니다 🤣❤️❤️
1508,22**
1509, 2022년 1월 17일
1510,신고
1511,★★★★★ 맛 ★ 5 양 ★ 5
1512,"뿌링클순살/1,빨간소떡/1,뿌링감자/1"
1513,맛있게 잘 먹었습니다
1514,ki**
1515, 2022년 1월 17일
1516,신고
1517,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1518,뿌링클（반）＋치즈볼/1(변경&추가(뿌링 치즈볼로 변경))
1519,#식후감 사장
1520," #힘내세요 입이 짧고, 식은 치킨은 싫어하고 ㅋㅋ 이런 저에게 딱이에요"
1521,wa**
1522, 2022년 1월 17일
1523,신고
1524,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1525,포테킹 후라이드 콤보/1
1526,好吃好吃好吃好吃好好
1527,wj**
1528, 2022년 1월 16일
1529,신고
1530,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1531,"뿌링클 콤보/1,뿌링클 콤보＋치즈볼/1"
1532,잘먹었어요!!! 두마리시켰더니 풍족하게 먹었어요
1533,ji**
1534, 2022년 1월 16일
1535,신고
1536,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1537,뿌링클 콤보＋치즈볼/1
1538,오랜만에 먹는 뿌링클과 치즈볼는 JMT입니다ㅠㅠㅠ
1539,se**
1540, 2022년 1월 16일
1541,신고
1542,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
1543,포테킹 후라이드 콤보/1(옵션(양념소스))
1544,식어서 왔지만 그래도 맛있었어요.
1545,ny**
