,0
196,뿌링클/1
197,닭이 말라서 별로였습니다
198,yr**
199, 2022년 4월 7일
200,신고
201,★★★★★ 맛 ★ 5 양 ★ 5
202,핫후라이드/1
203,조금 덜 매콤한게 살짝 아쉽지만 맛있었던 핫후
204,co**
205, 2022년 4월 6일
206,신고
207,★★★★★ 맛 ★ 5 양 ★ 5
208,포테킹 첨 먹었는데 빠삭하고 좋았어용
209,gu**
210, 2022년 4월 6일
211,신고
212,★★★★★ 맛 ★ 3 양 ★ 2 배달 ★ 5
213,뿌링클/1
214,실망 실망 대실망 닭도 작고 질기고 전체적으로 실망
215,qf**
216, 2022년 4월 6일
217,신고
218,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
219,후라이드 콤보/1(옵션(양념소스))
220,맛있게 잘 먹엇슴다!!!
221,ko**
222, 2022년 4월 5일
223,신고
224,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
225,맛초킹/1
226,배달빠르고 맛있습니다
227,01**
228, 2022년 4월 5일
229,신고
230,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
231,맛초킹/1
232,맛있게 잘 먹었습니다
233,01**
234, 2022년 4월 5일
235,신고
236,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
237,뿌링클/1
238,맛있게 잘 먹었습니다
239,yr**
240, 2022년 4월 5일
241,신고
242,★★★★★ 맛 ★ 5 양 ★ 4
243,뿌링클/1
244,뿌링클은 항상 맛있습니다
245,oe**
246, 2022년 4월 5일
247,신고
248,★★★★★ 맛 ★ 1 양 ★ 1
249,뿌링클/1
250,어우..... 너무 말라 삐뚜러진 치킨.. ㅡㅡ
251,24**
252, 2022년 4월 4일
253,신고
254,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
255,뿌링클（반）＋치즈볼/1
256,치즈볼이랑 치킨 뜨끈할때 배달받아서 맛있게 먹었어요! 뿌링클 양념도 많이 묻혀져서 넘 맛있었거 배달기사
257,이 친절하게 문자까지 주셔서 좋았어요!
258,hi**
259, 2022년 4월 4일
260,신고
261,★★★★★ 맛 ★ 5 양 ★ 5
262,뿌링클/1
263,잘먹었습니다 뿌링클 처음 먹어봤는데 굉장히자극적인맛이예요 달고짜고~ 맥주를 부르는맛이었습니다
264,bu**
265, 2022년 4월 4일
266,신고
267,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
268,골드킹/1
269,맛있어요! 잘먹었습니다^^
270,ge**
271, 2022년 4월 3일
272,신고
273,★★★★★ 맛 ★ 5 양 ★ 5
274,하바네로 포테킹 후라이드/1
275,존맛이에영 존맛존맛
276,da**
277, 2022년 4월 2일
278,신고
279,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
280,후라이드 반／양념 반/1
281,상당히맛있네요증말로
282,po**
283, 2022년 4월 2일
284,신고
285,★★★★★ 맛 ★ 5 양 ★ 4 배달 ★ 5
286,뿌링클 콤보/1
287,맛은 있었지만 개인적으로 양이 살짝 부족했어요 ㅠ
288,dn**
289, 2022년 4월 1일
290,신고
291,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
292,뿌링클 콤보/1
293,믿고 먹는 뿌링클 맛있어요!!
294,na**
295, 2022년 3월 31일
296,신고
297,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
298,핫후라이드/1
299,정말 맛있어요! 감사합니다!
300,xc**
301, 2022년 3월 29일
302,신고
303,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
304,뿌링클/1(옵션(콜라1.25L))
305,잘먹었습니다~ 최고에요
306,91**
307, 2022년 3월 29일
308,신고
309,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
310,뿌링클순살/1
311,맛있게 잘 먹었습니다.
312,ha**
313, 2022년 3월 27일
314,신고
315,★★★★★ 맛 ★ 5 양 ★ 4 배달 ★ 3
316,"뿌링클 콤보/1(디저트(달콤바삭치즈볼),옵션(콜라1.25L))"
317,맛잇어용 배달이 빨라요
318,ps**
319, 2022년 3월 27일
320,신고
321,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
322,뿌링클 콤보/1
323,정말 맛있었습니다
324,yu**
325, 2022년 3월 27일
326,신고
327,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
328,핫후라이드/1
329,맛있다맛있다맛있다맛있다
330,bi**
331, 2022년 3월 27일
332,신고
333,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
334,골드킹 콤보/1
335,바싹바싹하고 맛있습니다
336,86**
337, 2022년 3월 27일
338,신고
339,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
340,뿌링클/1
341,잘 먹었습니다!! 근데 오늘 양이 왜 이렇게 적어요?ㅠㅠ🥺
342,db**
343, 2022년 3월 26일
344,신고
345,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
346,뿌링클（반）＋치즈볼/1
347,오랜만에 먹었는데 맛있네요
348,by**
349, 2022년 3월 26일
350,신고
351,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
352,"커리퀸날개/1,케이준프라이/1"
353,커리퀸날개와 케이준프라이 진짜 맜있어요. 다시 주문할 거에요
354,do**
355, 2022년 3월 23일
356,신고
357,★★★★★ 맛 ★ 5 양 ★ 4 배달 ★ 5
358,뿌링맵소킹 콤보/1(디저트(뿌링소떡))
359,오 맵네요 다음엔 쁘링클로^^
360,dl**
361, 2022년 3월 22일
362,신고
363,★★★★★ 맛 ★ 3 양 ★ 3 배달 ★ 1
364,뿌링클/1
365,배달 시간 초과 치킨은 다 식음
366,69**
367, 2022년 3월 22일
368,신고
369,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
370,뿌링클/1(옵션(양념소스))
371,너무 맛있게 잘 먹었습니다 :-)
372,wd**
373, 2022년 3월 22일
374,신고
375,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
376,뿌링클（반）＋치즈볼/1(디저트(케이준프라이))
377,너무맛있어서 오자마자 입속에 구겨넣느라 사진도 안찍었네욥..최고
378,jo**
379, 2022년 3월 22일
380,신고
381,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
382,"핫후라이드/1,달콤바삭치즈볼/1"
383,짱짱맛있어요 핫르후라이드도짱
384,ha**
385, 2022년 3월 22일
386,신고
387,★★★★★ 맛 ★ 5 양 ★ 5
388,맛초킹/1
389,잘 먹었습니다~~~
390,va**
391, 2022년 3월 21일
392,신고
393,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
394,골드킹/1
395,와 정말 몇년만에 먹는 bhc인데 맛있어요! ㅎㅎㅎ 앞으로 계속 시킬듯하네요!
396,ty**
397, 2022년 3월 21일
398,신고
399,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
400,후라이드/1
401,후라이드 맛있어요~
402,sk**
403, 2022년 3월 21일
404,신고
405,★★★★★ 맛 ★ 5 양 ★ 1 배달 ★ 5
406,골드킹 순살/1(옵션(콜라1.25L))
407,맛은 있어요 그런데 양은 많지 않습니다. 남자 혼자 먹는데 하나 시켰다가 양이 부족하네요.. 그렇게 먹는 양이 많은 편은 아닙니다.
408,mn**
409, 2022년 3월 21일
410,신고
411,★★★★★ 맛 ★ 2 양 ★ 1 배달 ★ 5
412,후라이드 반／양념 반/1
413,닭이 기본적으로 너무 작아요. 다리랑 날개가 정말 작아요. 닭다리 날개 좋아하시면 무조건 콤보로 시키세요. 한마리는 무슨 그냥 닭가슴살 콤보입니다
414,cs**
415, 2022년 3월 21일
416,신고
417,★★★★★ 맛 ★ 5 양 ★ 5
418,골드킹/1
419,양은 조금 적어보이지만 괜찮아요
420,ap**
421, 2022년 3월 20일
422,신고
423,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 4
424,핫후라이드/1
425,핫후라이드는 항상 맛나요
426,ju**
427, 2022년 3월 20일
428,신고
429,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
430,골드킹/1
431,절어요~ ㅋㅋㅋ 맛있내용~ ㅋ
432,ly**
433, 2022년 3월 20일
434,신고
435,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
436,"빅콜팝/1,달콤바삭치즈볼/1,케이준프라이/1"
437,잘 맛있게 먹었습니다.
438,we**
439, 2022년 3월 20일
440,신고
441,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
442,뿌링클/1
443,맛있어요! 다음날 아침에 먹어도 맛있어요
444,61**
445, 2022년 3월 20일
446,신고
447,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
448,뿌링클순살/1
449,맛있게 먹었습니다 ~
450,sc**
451, 2022년 3월 20일
452,신고
453,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
454,뿌링클/1(옵션(치킨무))
455,좋아ㅏㅏㅏㅏㅏㅏㅏㅏㅏ요!!!!!!!!!!
456,be**
457, 2022년 3월 19일
458,신고
459,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
460,뿌링클순살/1
